Age_Ma,WI_high,pCO2_median_ppm,pCO2_p16_ppm,pCO2_p84_ppm
424,1.000000,1438.1,719.1,2876.3
423,0.711968,3570.2,1785.1,7140.3
403,0.390943,232315.9,116157.9,464631.7
402,0.374966,249120.0,124560.0,498240.0
401,0.479468,264005.7,132002.8,528011.3
400,0.584033,274612.4,137306.2,549224.8
399,0.610949,282544.6,141272.3,565089.3
396,0.691661,300220.6,150110.3,600441.2
395,0.718873,304088.7,152044.3,608177.3
394,1.197691,293105.5,146552.7,586211.0
393,1.285072,275545.1,137772.5,551090.1
389,1.435039,191172.6,95586.3,382345.2
388,1.472693,167883.2,83941.6,335766.3
387,1.577740,138482.1,69241.0,276964.2
386,0.946175,131218.3,65609.1,262436.5
385,1.104961,126390.4,63195.2,252780.7
384,1.104342,117658.8,58829.4,235317.6
380,0.758328,113239.5,56619.8,226479.1
379,0.833481,117297.5,58648.7,234595.0
378,0.935879,117171.5,58585.7,234343.0
373,1.000858,102224.8,51112.4,204449.5
372,0.984593,98430.1,49215.0,196860.2
349,0.564052,180386.2,90193.1,360772.4
348,0.759881,184859.4,92429.7,369718.9
342,0.557031,217196.4,108598.2,434392.7
341,0.544571,225542.4,112771.2,451084.9
323,0.720276,249312.7,124656.3,498625.4
322,0.552212,247097.1,123548.5,494194.1
321,0.581310,249608.2,124804.1,499216.4
320,0.599472,251035.7,125517.8,502071.4
313,0.403795,289932.0,144966.0,579863.9
312,0.385533,300264.2,150132.1,600528.3
300,0.385533,437660.4,218830.2,875320.9
